52538|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
47559|47798|Krefeld|Ostwall 29|+49 2151 816330|krefeld@igmetall.de|+49 2151 816340|www.igmetall-krefeld.de|
52525|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52074|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52531|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52511|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52072|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
47574|47798|Krefeld|Ostwall 29|+49 2151 816330|krefeld@igmetall.de|+49 2151 816340|www.igmetall-krefeld.de|
47533|47798|Krefeld|Ostwall 29|+49 2151 816330|krefeld@igmetall.de|+49 2151 816340|www.igmetall-krefeld.de|
52134|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52076|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52064|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
41372|41065|Mönchengladbach|Rheydter Str. 328|+49 2161 92693 0|moenchengladbach@igmetall.de|+49 2161 92693 33|moenchengladbach.igmetall.de|
52070|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
52066|52068|Aachen|Dennewartstr. 17|+49 241 946720|aachen@igmetall.de|+49 241 9467244|www.aachen.igmetall.de|
